symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CERN,2020-10-23 00:00:00+00:00,73.72,74.13,73.0,73.04,847924,73.72,74.13,73.0,73.04,847924,0.0,1.0
CERN,2020-10-26 00:00:00+00:00,72.87,73.12,71.75,72.53,987513,72.87,73.12,71.75,72.53,987513,0.0,1.0
CERN,2020-10-27 00:00:00+00:00,72.74,73.93,72.11,72.91,1347108,72.74,73.93,72.11,72.91,1347108,0.0,1.0
CERN,2020-10-28 00:00:00+00:00,70.64,72.55,70.51,72.145,2916532,70.64,72.55,70.51,72.145,2916532,0.0,1.0
CERN,2020-10-29 00:00:00+00:00,70.48,71.66,68.48,70.38,1773270,70.48,71.66,68.48,70.38,1773270,0.0,1.0
CERN,2020-10-30 00:00:00+00:00,70.09,70.775,69.05,69.295,1474698,70.09,70.775,69.05,69.295,1474698,0.0,1.0
INCY,2019-06-03 00:00:00+00:00,79.56,80.38,78.29,78.99,1192035,79.56,80.38,78.29,78.99,1192035,0.0,1.0
INCY,2019-06-04 00:00:00+00:00,81.56,81.68,79.795,80.68,1634494,81.56,81.68,79.795,80.68,1634494,0.0,1.0
INCY,2019-06-05 00:00:00+00:00,81.02,82.75,80.92,82.11,1000130,81.02,82.75,80.92,82.11,1000130,0.0,1.0
INCY,2019-06-06 00:00:00+00:00,79.86,81.81,79.69,81.06,810520,79.86,81.81,79.69,81.06,810520,0.0,1.0
INCY,2019-06-07 00:00:00+00:00,80.83,81.11,79.29,80.15,708034,80.83,81.11,79.29,80.15,708034,0.0,1.0
INCY,2019-06-10 00:00:00+00:00,76.8,81.54,76.57,80.78,1460859,76.8,81.54,76.57,80.78,1460859,0.0,1.0
INCY,2019-06-11 00:00:00+00:00,75.56,77.275,74.48,76.88,1467471,75.56,77.275,74.48,76.88,1467471,0.0,1.0
INCY,2019-06-12 00:00:00+00:00,75.8,76.98,74.94,76.84,1359506,75.8,76.98,74.94,76.84,1359506,0.0,1.0
INCY,2019-06-13 00:00:00+00:00,76.37,76.46,75.0034,75.74,1367471,76.37,76.46,75.0034,75.74,1367471,0.0,1.0
INCY,2019-06-14 00:00:00+00:00,77.71,77.79,75.46,76.3,1250414,77.71,77.79,75.46,76.3,1250414,0.0,1.0
INCY,2019-06-17 00:00:00+00:00,81.84,82.565,78.5,79.07,2414457,81.84,82.565,78.5,79.07,2414457,0.0,1.0
INCY,2019-06-18 00:00:00+00:00,84.28,84.87,82.0,82.82,1954686,84.28,84.87,82.0,82.82,1954686,0.0,1.0
INCY,2019-06-19 00:00:00+00:00,84.87,85.36,83.7,84.71,1236307,84.87,85.36,83.7,84.71,1236307,0.0,1.0
